식품명,식품기원명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg)
동죽,동물성,어패류 및 기타 수산물,동죽,100g,69,11.8,1.6,0.9,0.9,,
떡조개,동물성,어패류 및 기타 수산물,떡조개,100g,87,11.2,1,7.4,7.4,,
붉은맛,동물성,어패류 및 기타 수산물,맛조개,100g,62,9.7,1,1.3,,303,
장갱이,동물성,어패류 및 기타 수산물,장갱이,100g,90,19.1,1,0,0,,
꼬막,동물성,어패류 및 기타 수산물,꼬막류,100g,63,12.6,0.3,1.6,1.6,,
점줄우럭,동물성,어패류 및 기타 수산물,점줄우럭,100g,111,19.3,1.9,0.1,,,
정어리,동물성,어패류 및 기타 수산물,정어리,100g,171,20,9.1,0.2,0.2,,
참마자,동물성,어패류 및 기타 수산물,참마자,100g,90,17.7,1.5,0.3,0.3,,
준치,동물성,어패류 및 기타 수산물,준치,100g,129,20.1,4.7,0,0,,
홍어,동물성,어패류 및 기타 수산물,홍어류,100g,87,19.6,0.5,0,0,,
미역,식물성,해조류,미역류,100g,157,12.9,1.3,54.7,,,
석묵,식물성,해조류,석묵,100g,148,9.6,0.2,63.9,9.1,,
순채,식물성,해조류,순채,100g,25,2.5,0.7,8.4,7.1,,
우뭇가사리,식물성,해조류,우뭇가사리류,100g,52,4.2,0.2,21.5,18.5,,
파래,식물성,해조류,파래류,100g,12,2.18,0.15,2.95,0.04,122,
황소개구리,동물성,기타,개구리,100g,75,16.1,0.4,0.7,,69,
대황,식물성,해조류,대황,100g,145,7.3,0.2,64.5,54.5,,
뜸부기,식물성,해조류,뜸부기,100g,128,6.1,2.5,52.1,46.8,,
매생이,식물성,해조류,매생이,100g,125,20.6,0.5,40.6,35.4,,
모자반,식물성,해조류,모자반류,100g,18,1.8,0.2,6.7,5.2,,
크릴,동물성,어패류 및 기타 수산물,크릴류,100g,76,12.1,2.6,0.2,0.2,,
갈래곰보,식물성,해조류,갈래곰보,100g,12,0.9,0.2,4.6,4.3,,
꼬시래기,식물성,해조류,꼬시래기류,100g,17,1.8,0.2,6.2,5.9,,
쏙,동물성,어패류 및 기타 수산물,쏙류,100g,85,14.9,0.8,3.7,,,
가재,동물성,어패류 및 기타 수산물,가재류,100g,85,15.97,0.95,0,0,58,
갑오징어,동물성,어패류 및 기타 수산물,갑오징어류,100g,88,16.9,0.7,0.2,,,
접시조개,동물성,어패류 및 기타 수산물,접시조개(비단조개),100g,68,11.9,0.6,3,3,,
진주조개,동물성,어패류 및 기타 수산물,진주조개,100g,56,10.1,0.9,1.1,1.1,,
큰구슬우렁이,동물성,어패류 및 기타 수산물,큰구슬우렁이(골뱅이),100g,76,17.4,0.1,0.3,0.3,,
큰논우렁이,동물성,어패류 및 기타 수산물,큰논우렁이,100g,71,9.8,1,4.9,4.9,,
키조개,동물성,어패류 및 기타 수산물,키조개,100g,57,10.3,1.1,0.8,0.8,,
펄조개,동물성,어패류 및 기타 수산물,펄조개,100g,74,9.4,1,6,6,,
성게,동물성,어패류 및 기타 수산물,성게류,100g,75,12.46,1.29,2.41,,,
멍게,동물성,어패류 및 기타 수산물,멍게류,100g,88,8.24,2.05,8.27,,,
청해삼,동물성,어패류 및 기타 수산물,해삼,100g,33,4.84,0.56,1.75,,,
해파리,동물성,어패류 및 기타 수산물,해파리류,100g,6,1.3,0,0.1,0.1,,
진두발,식물성,해조류,진두발,100g,66,2.5,1.5,53.5,,551,
클로렐라,식물성,해조류,클로렐라,100g,97,45.3,7.2,25.7,,,
풀가사리,식물성,해조류,풀가사리류,100g,152,16.5,0.6,58,55.7,,
홑파래,식물성,해조류,홑파래류,100g,146,17.2,1.1,53.2,48.3,,
개불,동물성,어패류 및 기타 수산물,개불류,100g,53,10.5,0.2,1.6,1.6,,
갯강구,동물성,어패류 및 기타 수산물,갯강구,100g,295,45.95,4.2,15.44,,,
군소,동물성,어패류 및 기타 수산물,군소류,100g,87,16.02,0.83,2.79,,,
앨퉁이,동물성,어패류 및 기타 수산물,앨퉁이,100g,166,19.4,8.9,0.17,,,
산호,식물성,해조류,산호류,100g,80,7.94,0.64,9.78,,,
해면,동물성,어패류 및 기타 수산물,해면류,100g,14,2.42,0.21,0.45,,,
지누아릿과,식물성,해조류,지누아릿과류,100g,16,2.43,0.15,5.12,,,
고리매,식물성,해조류,고리매,100g,14,1.35,0.25,4.65,,,
코끼리조개,동물성,어패류 및 기타 수산물,코끼리조개,100g,103,12.58,1.21,9.49,,,
밀,식물성,곡류,밀,100g,334,11.3,1.6,74.2,,6,
멥쌀밥,식물성,곡류,멥쌀밥,100g,156,2.6,0.1,34.6,,5,
멥쌀 국수,식물성,곡류,멥쌀국수,100g,380,7.2,0.72,82.36,0,87,0
