요리명,조리방법,조리분류,열량,탄수화물,단백질,지방,나트륨,재료
고구마 찰 빵,기타,기타,241,39.76,6.35,6.27,4.16,"쌀가루 120g, 타피오카 전분 80g, 비트가루 15g, 물 140g, 르뱅 발효종 160g, 소금 2g, 올리브유 25g,
  고구마 30g, 생크림 10g, 김치 70g, 양파30g,  기름5g"
브로콜리견과류복음,볶기,반찬,131.3,5.7,4.1,10.2,5.3,"브로콜리 70g, 아몬드슬라이스 5g, 캐슈넛 10g,
 무염버터 10g, 소금 0.3g"
유린기,기타,반찬,173.3,7.3,11.3,11,148.2,"닭다리살 110g, 양상추 25g, 그린치커리 5g, 라디치오 5g, 홍고추 5g, 청양고추 5g, 대파 5g, 무순 3g, 마늘 1g, 생강 1g, 식용유 3g,
 식초 5g, 저염간장 5g, 레몬즙 2g, 설탕 1g, 물 5g,
 옥수수전분 5g"
단호박 호밀빵,기타,기타,271,53.05,10.59,1.86,1.83,"통밀가루 200g, 강력분 200g, 전립분 40g, 소금 15g, 드라이이스트 5g, 물 150ml 베이킹파우더 10g,
 단호박 20g, 참깨 10g"
미숫가루 스콘,기타,기타,376,55.8,9.53,12.73,8.1,"버터 40g, 박력분 90g, 강력분 90g, 미숫가루 70g, 베이킹파우더 10g, 우유 66g, 달걀 50g, 건크랜베리 20g, 호두 20g"
고구마 공갈빵,기타,기타,277,56.14,8.73,1.92,4.46,"강력분 300g, 이스트 6g, 소금 4g, 버터 10g, 물 170ml 
 고구마 3~4개 우유20g"
검은콩 크림빵,기타,기타,233,37.02,10.98,3.47,4.69,"강력분 300g, 물 250ml 이스트 8g,  호밀가루 50g, 검은콩가루 24g, 올리브유 4g,호두 50g, 크랜베리 24g,
 불린 검은콩 300g, 우유 200g,  달걀 50g, 소금 3g"
오이 소르베,기타,후식,65.4,8.3,3.7,1.9,34.7,"오이 100g, 셀러리 줄기 15g, 요거트 60g, 과일 20g, 라임즙 5g, 아가베 시럽 5g"
리코타치즈 카프레제,기타,후식,222.7,9,4.7,18.6,13.9,"방울토마토 100g, 우유 레몬즙 20g, 발사믹식초 10g, 레몬즙 1g, 올리브유 10g"
연두부 카프레제,기타,후식,309.3,12.3,17.5,21.1,279.4,"깻잎 양파 20g, 방울토마토 5개=50g, 연두부 100g, 두부 100g, 다진 마늘 10g, 치즈 40g, 간장 8g, 올리브유 30g, 참기름 15g"
연두부 토마토,기타,일품,110.1,7.6,8.3,5.1,46.9,"연두부 70g, 방울토마토 6~7개=50g, 스트링치즈 40g, 어린잎채소 발사믹식초 5g, 사과 150g, 사과주스 50g, 플레인 요거트 30g"
들깨삼겹살과 참외쌈장,굽기,반찬,491.8,9.4,16.4,43.2,893.9,"삼겹살 200g, 참외 영양부추 50g, 들깻가루 마늘 통후추 저염 된장 다진 양파 다진 마늘 참깨 참기름 다진 청고추 다진 홍고추 고춧가루 다진 파 들깻가루 사과즙 견과류"
돼지고기 포두부 파스타,볶기,기타,459.4,9.9,35.6,30.8,211.8,"양파 마늘 대파 다진 돼지고기 400g, 두부면 2팩=200g, 새우 닭육수 청양고추 고추장 후춧가루 식초 올리브유 고춧가루"
단호박 양파잼 샌드위치,기타,기타,287,41.8,10.5,8.6,489.2,양파 미니 단호박 삶은 달걀 우유 식빵 슬라이스 체더치즈 말린 자두 청상추 아몬드 슬라이스 화이트와인 꿀 소금 후춧가루
시금치크림치즈 빵,기타,기타,303,36.07,9.2,13.54,2.28,"통밀가루 50g, 강력분 200g, 인스턴트 드라이 이스트 3g, 사과종 45ml 물 120ml 소금 2g, 달걀 50g, 올리브유 15g, 시금치 소량 말린 방울토마토 4~5개
 시금치 50g, 다진 마늘 3g,  볶음 참깨 60g, 올리브유 8g, 소금 소량 후추 소량 크림치즈 100g"
무말랭이김치,기타,반찬,10.86,2.56,0.14,0,1.85,"무말랭이 10g, 식초 30g, 설탕 25g, 레몬 8g, 당근 5g, 오이 5g, 피클링스파이스 5g, 물 100g"
코울슬로샐러드,기타,반찬,44.1,4.2,0.6,2.8,26.8,"양배추 30g, 양파 10g, 적파프리카 3g, 청피망 3g,
 마요네즈 5g, 설탕 1g, 식초 0.5g"
마들깨미역국,끓이기,국&찌개,161.9,13.1,6.8,9.2,173.6,"건미역 4g, 마 40g, 깐들깨가루 17g, 건다시마 1g, 참기름 2.5g, 마늘 2.5g, 물 300ml"
바지락맑은국,끓이기,국&찌개,9.9,0.8,1.5,0.1,82.7,"바지락 60g, 팽이버섯 20g, 홍고추 5g, 쑥갓 2g,
 다시마 5g, 청양고추 3g, 무 10g, 대파 5g, 물 300g"
통배추 겉절이,기타,반찬,22,2.6,1,0.8,110.2,"통배추 25g, 쪽파 1g, 마늘 1g, 생강 0.5g,
 소금 0.1g, 홍시 1g, 고춧가루 1g, 젓갈 1g, 통깨 1g, 참기름 0.5g"
포니언 스프,끓이기,일품,187.8,24.1,5,7.9,109.1,"감자 100g, 양파 40g, 우유 30g, 시판 크루통 7g, 파슬리가루 1g,
 버터 5g, 소금 0.3g, 후춧가루 0.3g"
가지 탕수육,튀기기,일품,297.2,27.2,7.5,17.6,596.3,"돼지고기 70g, 두부 50g, 아삭이고추 30g, 가지 60g, 식용유 소금 0.3g, 후춧가루 0.2g, 간장 20g, 올리고당 30g, 식초 10g, 전분 10g, 튀김가루 50g"
토마토소스 애호박냉파스타,기타,기타,121.7,9.4,2.7,8.1,425.3,토마토 참외 오이 양파 마늘 애호박 바질잎 블랙올리브 파우더 레몬즙 올리브유 소금 페페론치노 저염 간장 식초 꿀
새우채소 김치롤,기타,반찬,121.1,5.5,14.2,4.7,526.4,김치 오이 파프리카 깻잎 새우 달걀물 무순 크래미 식용유
떡순이 두부쌈,기타,일품,517,47.4,32.5,22,566,"누들 떡볶이 떡 20개 130g, 소고기 양지 110g, 어묵 1장 40g, 양배추 60g, 떡볶이양념파우더 30g,<br>

"
두부샐러드 메밀김밥,기타,일품,423.9,30.2,30.4,20.1,561.9,"메밀면 생면 166g, 오이 55g, 양파 42g, 당근 25g, 족발 200g, 달걀지단 20g,<br>
"
토마토채소스프와 연어소바찜,찌기,일품,260,37.2,16.3,5.1,250.5,"토마토 356g, 무 6g, 당근 6g, 마늘 5g, 양파 6g, 연어 100g, 메밀면 70g, 월계수잎 2g, 소금 1g"
참나물무말이 물김치,기타,반찬,34.4,7.5,0.8,0.2,209,"참나물 30g, 무 20g, 레몬 설탕 10g, 사과식초 20g, 물 사과식초 15g, 마늘 홍고추 사과"
소고기 무국,끓이기,국&찌개,46.5,3.42,6.49,0.77,226.87,"소고기 14g, 무 15g, 파 3g, 느타리버섯 5g, 숙주 5g, 저염간장 10g, 물 150g"
매운락교무침,기타,반찬,46.9,8.4,0.9,1.1,500.6,"락교 30g, 쪽파 2g, 마늘 0.1g,
 고춧가루 0.3g, 설탕 0.3g, 참기름 0.1g, 참깨 0.1g"
채소초밥,기타,일품,393.26,87.64,7.59,1.37,144.48,"쌀 40g, 현미 30g, 현미찹쌀 5g, 애호박 20g, 새송이버섯 20g, 우엉 20g, 적파프리카 15g, 황파프리카 15g, 주황파프리카 15g, 식초 2.5g, 설탕 2g, 파래김 1g, 미향 1g, 레몬 0.3g, 건다시마 0.1g"
꽃게바지락찌개,끓이기,국&찌개,23.2,0.2,1.4,1.3,113.5,"꽃게 8.2g, 바지락 4g, 조선무 11.3g, 깐양파 5g, 애호박 9.2g, 두절콩나물 5.3g, 국멸치 1.3g, 건다시마 0.3g, 깐대파 2g, 국간장 1.4g, 고춧가루 0.6g, 된장 0.5g, 고추장 0.6g, 물 300ml"
새뱅이찌개,끓이기,국&찌개,74.9,14.7,3.8,0.1,561,"물 300ml 다시마 2g, 양파 15g, 새뱅이 30g, 밀가루 20g, 호박 10g, 무 10g, 청양고추 5g, 파10g, 마늘 5g, 쑥갓 5g, 고춧가루 3g, 고추장 3g, 소금 2g, 간장 1g"
황태미역국,끓이기,국&찌개,46,6.6,3.5,0.6,170.4,"건미역 2g, 황태 4g,
 황태머리 5g, 다시마 1g, 표고버섯 1g, 대파 1g, 물 250g,
 참기름 1g, 다진마늘 1g, 저염국간장 2g"
매실입은가지닭볶음탕,볶기,반찬,211.4,9.2,26.2,7.7,241.6,"닭고기 100g, 가지 30g, 매실엑기스 5g, 파 5g, 마늘2g, 대두유 3g, 간장 3g, 식초 2g, 미림 2g, 올리고당 2g, 참기름 1g"
홍시잼 식빵,기타,기타,239,43.76,6.41,4.25,12.37,"강력분 500g, 인스턴트 이스트 5g, 소금 7g, 달걀 50g, 우유 250g, 포도씨유 50g, 
 홍시 1000g,  레몬즙 3g"
콩가루 소보로,기타,기타,279,41.91,9.08,8.35,13.53,"강력분 320g, 날콩가루 80g, 따뜻한 우유 140ml 이스트 8g, 달걀 2개 코코넛 오일 20g, 소금 2g, 
 박력 쌀가루 100g, 볶은 콩가루 60g, 베이킹파우더 2g, 달걀 2개 버터 60g, 
 고구마 500g, 우유 50g, 크랜베리 100g, 아몬드 30g"
곤약 가스,굽기,일품,449.8,39,15,26,385.3,"냉동 곤약 200g, 채 썬 양파 50g, 납작 썬 마늘 10g, 채소 육수 아몬드 100g, 땅콩 100g, 통밀가루 45g, 미림 20g, 간장 5g, 간 마늘 10g, 토마토 페이스트 30g, 간장 10g, 설탕 3g, 발사믹식초 5g, 식용유"
두부크림 관자뇨키,끓이기,일품,267.6,12.9,26.5,12.2,478.9,"양파 25g, 관자 200g, 새우 모시조개 청양고추 두부 200g, 우유 생크림 후춧가루 다진 마늘 바질 그라나파다노 치즈"
토마토 해물누룽지탕,끓이기,국&찌개,238.9,28.6,16.3,6.6,585.2,"알배추 40g, 우목심 50g, 깻잎 5g, 청경채 25g, 팽이버섯 20g, 표고버섯 5g, 숙주 30g,<br>

"
"삼색나물, 토마토양념장",기타,반찬,35.96,5.71,1.71,0.7,103.32,"토마토 35g, 마늘 2g, 양파 20g, 꿀 15g, 식초 15g, 도라지 15g, 시금치 30g, 고사리 20g, 고추장 20g, 소금 2g, 참기름 5g"
삼색 브레드 스틱,기타,기타,315,51.04,10.61,7.55,1.61,"강력분 300g, 소금 3g, 드라이이스트 12g, 버터 36g, 식용유 6g, 당근 50g, 참나물 50g, 연근 30g, 견과류 10g, 물 100ml"
양배추말이 김치,기타,반찬,33.2,6.1,1.7,0.2,200.2,"양배추 시금치 20g, 오이 60g, 당근 20g, 고춧가루 간장 사과식초 사과즙"
단호박 양고기볶음,찌기,반찬,244.3,21.8,23.1,7.2,157.8,"콜리플라워 50g, 고구마 양파 양고기 부채살 250g, 마늘 단호박 올리브유 바질럽드 바질페스토 홀그레인 머스터드 다진 마늘"
채소 프리타타,굽기,반찬,467.2,14.8,33.3,30.6,478.6,"소고기 180g, 단호박 50g, 팽이버섯 20g, 새송이버섯 25g, 느타리버섯 20g, 쌈추 10g, 적근대 10g, 배추 20g, 숙주 20g,<br>
"
고등어 라따뚜이 파스타,끓이기,일품,420.7,13.8,24.3,29.9,551.5,"고등어 1마리=250g, 시래기 30g, 무 20g, 대파 20g, 청양고추 20g, 양념장 75g,<br>
"
홍시에이드,기타,후식,42.14,10.3,0.18,0.02,2.06,"홍시 50g, 배 20g, 탄산수 50g, 사이다 50g"
낙지묵은지콩나물국,끓이기,국&찌개,71.7,9.4,6.3,1,280.5,"낙지 50g, 묵은지 20g, 콩나물 40g, 무 40g, 대파 5g, 마늘 5g, 국멸치 3g, 대두유 5g, 간장 1.5g, 쌀뜨물 300ml  고춧가루 5g"
자색고구마 버터크림 빵,기타,기타,929,34.64,6.42,14.21,7.54,"강력분 290g, 박력분 70g, 이스트 4g, 소금 5g, 달걀 50g, 무염버터 30g,  바나나 180g, 밤고구마 130g, 물 150g, 
 삶은 밤고구마 380g, 바나나 180g, 바나나슬라이스 
 삶은 자색고구마 190g, 삶은 밤고구마 100g, 박력분 30g,  달걀 50g, 버터120g, 물 100g"
치아바타 피자빵,기타,기타,237,29.14,12.79,7.65,1.7,"블루베리 발효원종 250g, 강력분 250g, 소금 3g, 물 100ml
 토마토 150g, 양송이 버섯 50g, 양파 50g, 파프리카 50g, 로즈마리 5g, 식용유 10g,  물 50ml
 저염치즈 200g"
코코넛워터 토마토카레,끓이기,일품,583.9,88.6,25.2,14.3,601.2,"양파 75g, 감자 50g, 당근 40g, 닭가슴살 100g, 토마토 150g, 코코넛워터 우유 현미밥 150g, 올리브유 10g, 후춧가루 3g, 카레가루 10g, 물 그릭요거트 45g, 소금 0.5g, 올리브유 10g, 올리고당 10g, 다진 마늘 15g, 카레가루 10g, 파슬리가루 0.5g"
치즈 단호박,찌기,일품,379.3,49,19,11.9,248.5,"단호박 1개=800g, 달걀 맛술 우유 모차렐라치즈 30g, 그라나파다노치즈 아몬드 플레이크 꿀 파슬리가루"
강황 투움바 파스타,볶기,기타,392.5,60.4,11.7,11.6,221.7,"양파 양송이버섯 마늘 토마토 탈리아텔레 200g, 말린 토마토 다진 파슬리 핑크 페퍼 바질잎 바게트 물 무 150g, 양파 다시마 올리브유 강황가루 고운 고춧가루 식물성 생크림 두유 후춧가루"
깻잎 쌈두부 라자냐,굽기,반찬,601.9,24.3,37.8,39.3,450.2,"쌈두부 18g, 소고기 양지 120g, 숙주 80g, 청경채 30g, 배추 60g, 당면 30g,<br>
"
코다리 뿌리채소 들깨탕,끓이기,국&찌개,93.33,3.64,14.75,2.2,155.11,"코다리 150g, 무 60g, 연근 20g, 호박 20g, 우엉 10g, 느타리버섯 10g, 표고버섯 10g, 대파 5g, 양파 10g, 청양고추 2g, 쑥갓 1g, 홍고추 1g, 다시멸치 1g, 다시마 1g, 들깨가루 15g, 마늘 1.5g, 생강 0.5g, 후추가루 0.5g, 천일염 0.2g"
찹쌀 흰살 생선찜,찌기,일품,206.1,20,16.4,6.8,284.6,"배추 30g, 대파 12g, 가자미 70g, 찹쌀가루 5g, 식초 3g, 맛술 5g, 새우젓 2g, 다진 마늘 2g, 다진 파 2g, 월계수잎 불린 찹쌀 30g, 고운 고춧가루 2g, 백후추 1g, 잘게 다진 새우젓 1g"
깻잎퓌레를 곁들인 삼치새우,굽기,일품,575.2,40.5,27.3,33.8,655.6,"깻잎 청경채 새우 삼치 75g, 생크림 식용 꽃 삶은 감자 150g, 녹인 무염 버터 우유 레몬즙 3g, 소금 2g, 후춧가루 3g, 건로즈메리 2g, 찹쌀가루 3g, 전분 12g, 올리브유 설탕 3g, 후춧가루 3g, 식용유"
참나물페스토 파스타,볶기,일품,462.2,54.5,11.8,21.9,60.8,"참나물 45g, 방울토마토 스파게티면 90g,
 참나물 18g, 잣 4g, 올리브유 4g, 소금 1g,
 올리브유 2g"
카레삼겹살 파니니,볶기,기타,655.5,80.1,23.9,26.6,738.3,"방울토마토 아보카도 로메인 양파 대파 미나리 ⅓줌=50g, 마늘 대패삼겹살 100g, 치아바타 올리브유 후춧가루 간장 꿀 카레가루 고운 고춧가루 플레인 요거트 + 꿀"
어린잎채소 건두부말이,기타,기타,233.8,7.3,12.7,17.1,156.7,어린잎채소 견과류 건두부 슈레드 모차렐라치즈 라임청 후춧가루 올리브유 다진 마늘
해산물 완자볼을 곁들인 양장피 콩국수,기타,일품,265.6,49,10.2,3.2,360,"새우 50g, 오징어 60g, 양장피 면 60g, 건목이버섯 10g, 참기름 4g, 양파 110g, 볶음 소스 20g, 크레미 40g, 당근 40g, 피망 45g, 붉은 파프리카 45g, 달걀지단 20g,<br>
"
토마토 채소 계란찜,찌기,반찬,181.76,4,11.68,13.23,159.3,"방울토마토 20g, 양파 5g, 브로콜리 10g, 그린빈스 10g, 계란 80g, 파마산치즈 3g, 생크림 20g, 마늘 0.1g, 후추 0.1g"
배 깍두기,기타,반찬,31.66,6.33,0.72,0.39,284.48,"배 400g, 쪽파 5g, 고춧가루 8g, 액젓 15g, 마늘 3g"
바지락가자미완탕국,끓이기,국&찌개,126.6,14.8,15.5,0.6,177.5,"가자미살 40g, 두부 20g, 양파 10g, 대파 5g, 후추 1.1g, 전분 3g, 바지락 60g, 무우 40g, 마늘 2g, 쑥갓 1g, 청홍고추 0.1g, 팽이버섯 0.1g, 물 300ml"
저염보쌈김치,튀기기,반찬,9.97,1.96,0.3,0.11,112.95,"""배추 17g, 배 3.0g, 대추슬라이스 0.2g, 깐밤 1.1g, 당근 1.0g, 
 조선무 1.1g, 미나리 1.0g, 깐양파 1.1g,  파프리카 1.1g, 황설탕 0.1g, 잣 0.2g,  깐마늘 1.1g, 깐생강 0.2g, 멸치액젓 0.1g, 고춧가루 0.8g, 굵은소금 0.5g, 건표고버섯 0.1g, 국멸치 0.3g,  물 50ml"""
새우게살 파프리카롤,기타,일품,108.3,8.9,6.8,5,366,"크래비 20g, 냉동 새우살 20g, 파프리카 빨강 주황 노랑 각각 10g, 냉동 아보카도 15g, 절임 올리브 그린 블랙 5g, 다진 파 2g, 다진 마늘 1g, 후춧가루 간 파르메산치즈 5g, 홀그레인 머스터드 5g, 요플레 20g, 올리고당 5g"
콩국물소스를 곁들인 게살 냉채,기타,일품,231.6,14.5,16.3,12,475.4,"게살 50g, 수박 70g, 가지 30g, 적채 20g, 브로콜리 20g, 두부 100g, 우유 꿀 5g, 소금 1g, 후춧가루 2g, 올리브유"
방아잎 닭고기말이,굽기,반찬,501.9,4.8,43.8,34.2,344.1,"아스파라거스 닭다릿살 400g, 방울토마토 방아잎 ⅓줌=30g, 파르메산 치즈 레몬즙 맛간장 잣 마늘 올리브유 간장 물 사과 양파 마늘 대파 플레인 요거트 레몬즙 무가당 아보카도 마요네즈 파르메산 치즈 스테이크 시즈닝 파슬리가루"
새우 카레 빠에야,볶기,밥,366.9,60.6,14.9,7.2,370.6,양파 토마토 새우 쌀 카레가루 황태 머리 다시마 다진 마늘 파슬리가루 후춧가루
오징어 가라아게&칠리소스,튀기기,반찬,595.1,30.4,25.1,41.5,307.7,"오징어 80g, 대파 20g, 마늘 10g, 달걀노른자 25g, 밀가루 20g, 식용유 3g,
 토마토 20g, 고춧가루 15g, 식초 50g, 설탕 15g, 전분 10g"
토마토 채소 가지롤,볶기,반찬,414.6,19.2,9.6,33.3,361.3,"순두부 1/2봉지=175g, 팽이버섯 150g, 애호박 30g, 양파 40g, 파 30g, 청양고추 8g, 느타리버섯 33g, 마늘 18g, 차돌박이 87g,<br>
"
콜라비 깍두기,기타,반찬,14,2.6,0.6,0.2,40.5,"콜라비 80g, 쪽파 5g, 홍고추 0.5g, 생강 0.1g, 양파 0.1g, 마늘 1g,
 고춧가루 4g, 액젓 1g, 매실청 0.2g,
 천일염 0.1g"
비타 오이 물김치,기타,반찬,13.46,2.99,0.34,0.02,30.88,"오이 30g, 무 50g, 홍고추 10g, 파프리카 20g, 당근 20g, 미나리 10g, 식초 30g, 배 30g, 고춧가루 10g, 설탕 5g"
감자미역국,끓이기,국&찌개,35.4,2.5,1.1,2.3,174.6,"건미역 1.5g, 감자 40g, 다진마늘 1g, 참기름 1g, 국간장 2g, 물 300ml"
청경채 김치,기타,반찬,53.7,9.9,1.9,0.7,382.6,"청경채 60g, 배 10g,
 매실액 5g, 고춧가루 5g, 저염간장 3g, 다진마늘 1g, 다진생강 2g,
 소금 2g, 찹쌀가루 10g"
두부 새우볼,볶기,일품,187.1,8.4,15.3,10.3,288.1,"두부 100g, 냉동 새우살 90g, 양파 30g, 새송이버섯 100g, 생강가루 1g, 후춧가루 1g, 소금 1g, 소금 1g, 후춧가루 1g, 파슬리가루 2g, 식용유 버터 10g, 밀가루 10g, 우유"
소고기육전과 전복내장소스,굽기,일품,341.6,11.8,16.6,25.3,191.6,"부챗살 150g, 쪽파 5g, 홍고추 5g, 익힌 전복내장 5g, 다진 건새우 5g, 밀가루 20g, 달걀물 50g, 생강 1g, 저염 간장 5g, 맛술 2g, 식초 2g, 참기름 1g, 후춧가루 2g, 식용유"
라이스페이퍼 수제소시지,굽기,반찬,542.8,38.3,38.6,26.1,451.7,"다진 돼지고기 600g, 사각 라이스페이퍼 새우젓 저염 간장 버섯가루 스테비아 찹쌀가루 후춧가루 훈제 파프리카파우더 카옌 페퍼 커민 다진 양파 다진 마늘"
치즈토마토 가지구이,볶기,일품,263.6,9.4,14.8,18.5,200.7,"새송이버섯 양파 토마토 가지 돼지고기 목살 200g, 슈레드 모차렐라치즈 올리브유 다진 마늘 쌈장 파프리카가루 바질잎"
묵은지 밀푀유나베,끓이기,국&찌개,115.5,5.2,12.1,5.2,356.5,"묵은지 배추 깻잎 소고기 샤브샤브용 150g, 콩나물 1줌=20g, 북어채 1줌=10g"
생선까스&타르타르소스,튀기기,반찬,277.3,8,14.5,20.8,201.2,"명태포 40g, 튀김가루 20g, 달걀 식용유 5g, 물 30g,
 후춧가루 1g, 레몬즙 3g,
 삶은 달걀 마요네즈 5g, 홍고추 1g, 청양고추 1g, 양파 3g, 후추 2g, 레몬즙 10g"
미옹 카레,끓이기,반찬,298.6,30.7,6.8,16.6,579.7,"커리 소스 80g, 홍새우 튀김 150g, 컬리플라워 50g, 감자튀김 100g,<br>
"
곤약 감자조림,기타,반찬,37.8,8.78,0.64,0.01,305,"곤약 100g, 감자 50g, 풋고추 5g, 홍고추 5g, 다시마 10g, 간장 15g, 설탕 10g, 미림 15g, 참기름 3g, 식초 10g, 물 200g"
배추된장국,끓이기,국&찌개,44.9,4,4.2,1.3,52.1,"배추 20g, 두부 30g, 양파 20g, 대파 10g, 다시멸치 5g, 청양고추 1g, 다진마늘 0.5g, 생강즙 0.5g, 된장 2g, 쌀뜨물 60ml 물 300ml"
한우굴라쉬,끓이기,국&찌개,86.7,9.6,4.4,3.4,178.5,"쇠고기 등심 17.5g, 양파 7.5g, 감자 15g, 파프리카 3.2g, 토마토 25g, 마늘 1.7g, 밀가루 1.7g, 토마토페이스트 13.7g, 케첩 9g, 버터 5g, 올리브유 1g, 월계수잎 0.1g, 소금 0.1g, 후추 0.1g, 물 300ml"
요거트강화순무김치,기타,반찬,15.87,2.75,0.9,0.14,29.8,"순무 40g, 쪽파 0.2g, 고운 고춧가루 1g, 굵은 고춧가루 1g, 다진마늘 1g, 플레인요거트 2g, 소금 0.2g"
크림카레소스를 곁들인 함초두부스테이크,굽기,기타,289.9,13.4,28.7,13.5,349.6,"양파 30g, 당근 20g, 양송이버섯 20g, 불린 함초 15g, 으깬 두부 120g, 닭가슴살 60g, 달걀 40g, 빵가루 5g, 밀가루 10g, 버터 10g, 우유 250g, 강황가루 10g, 함초소금 0.5g, 다진 마늘 5g, 저염 간장 3g, 식용유"
레몬등갈비구이,굽기,반찬,281.4,2,24.4,19.5,74.3,"등갈비 150g, 마늘 10g, 레몬 15g,
 소주 10g, 로즈메리 1g, 다진마늘 1g, 후춧가루 1g, 올리브유 5g,
 요거트 10g, 꿀 2g, 레몬즙 2g"
밀푀유 채소 웰링턴,굽기,반찬,216.4,7.2,14.6,14.2,647.7,"배추 200g, 소고기 200g, 숙주 80g, 청경채 30g, 표고버섯 20g, 새송이버섯 50g, 백목이버섯 3g, 다시마 10g, 깻잎 5g,<br>
"
과일 먹은 닭탕수,튀기기,반찬,104.12,11.33,5.07,4.28,25.88,"닭고기 300g, 포도 15g, 미니사과 30g, 파인애플 15g, 전분 80g, 설탕 20g, 레몬 70g, 청주 10g, 후추 0.2g, 소금 2g, 물 200g"
콜리플라워미역국,끓이기,국&찌개,20.9,0.6,1.3,1.5,113.1,"콜리플라워 25g, 건미역 2g,  물 500ml 디포리 2g, 양파 20g, 무 20g,  저염간장 1g, 건표고버섯 3g, 건새우 3g, 물 300ml"
구기자모듬장조림,기타,반찬,59.2,5.3,4.3,2.3,215.6,"한돈 30g, 메추리알 30g, 당근 10g, 곤약 10g, 구기자 5g, 양파 10g, 파 10g, 다시마 5g, 마늘 10g, 표고버섯 10g, 저염간장 15g"
오미자저염나박김치,기타,반찬,43.05,9.8,0.42,0.24,7.24,"배추 10g, 콜라비 5g, 오이 2g, 당근 2g, 실파 1g, 청홍고추 1g, 레몬 5g, 오미자엑기스 5g, 식초 30g, 설탕 5g, 물 10ml"
메밀면 샐러드,기타,일품,201.5,26.9,9.4,6.2,308.8,"양상추 40g, 당근 10g, 방울토마토 30g, 닭가슴살 60g, 메밀면 90g, 어린잎채소 10g, 식초 20g, 간장 15g, 올리브유 15g, 다진 마늘 3g, 올리고당 5g, 유자청 10g"
치즈 두부 튀김,튀기기,일품,355.4,24.7,19.4,19.9,172.9,"고구마 50g, 호두 15g, 우유 두부 150g, 빵가루 50g, 모차렐라치즈 15g, 식용유"
단호박 라타투이,찌기,반찬,235.4,9.1,21.7,12.5,682.6,"가지 주키니호박 토마토 단호박 훈제 오리 400g, 마늘 다진 양파 다진 토마토 다진 파프리카 올리브유 소금 후춧가루"
느타리버섯볶음,볶기,반찬,51.5,3.8,2.4,3,158.2,"느타리버섯 25g, 파프리카 빨간색 노란색 각 10g, 청피망 10g, 크래미 10g, 식용유 3g,
 소금 1g, 후추 3g, 간장 1g"
닭고기 바비큐,굽기,반찬,174.7,11.9,13.1,8.5,73,"닭가슴살 60g, 홍피망 24g, 양파 30g, 노랑파프리카 24g, 양송이버섯 9g, [소스소개] 양파다진것 6g, 마늘다진것 1.2g, 케첩 9g, 홍토마토 12g, 설탕 3g, 물 18g,<br /> 타임 0.9g, 로즈마리 0.9g, 바질 1.2g, 오레가노 1.2g"
닭고기 편육,굽기,반찬,262,8.3,19.4,15.5,238,"닭고기가슴살 100g, [소스소개] 요구르트 6g, 식용유 1g, 후춧가루 0.03g,<br /> 간장 3g, 설탕 5g, 꿀 1g, 홍고추마른것 1g, 정종 5g, 참기름 0.8g, 대파 10g"
돼지고기 찹쌀부침,굽기,반찬,343.7,48.3,13.4,10,120,"돼지고기 등심 50g, 젖은 찹쌀가루 50g, [소스소개] 간장 1g, 물엿 3g, 다진마늘 2g, 후춧가루 0.1g, 무순 1g, 레디쉬 0.3g, 깻잎 1.5g, 대파 3g, 된장 1g, 파인애플 15g, 물 30g, 홍고추 0.5g, 통마늘 0.3g"
등심 배구이,굽기,반찬,97.2,3.8,7.9,5.1,241,"쇠고기등심 38g, 배 12g, 오이 9g, 잣가루 0.5g, 식용유 0.5g, [소스소개] 포도주 2.5g, 후춧가루 0.1g,<br /> 간장 1.3g, 사과주스 3.8g, 식초 1.3g, 설탕 1.3g, 와사미 0.8g"
버섯소스를 곁들인 돼지 등심 스테이크,굽기,일품,387.7,8,20.4,26.1,80,"돼지등심 100g, 양송이버섯 45g, 표고버섯 15g, 애느타리버섯 10g, 파슬리다진것 3g, 버터 5g, 후춧가루 0.1g, 밀가루 4g, 식용유 2g, 화이트와인 50g, 물 50g"
쇠고기 감자찜,찌기,반찬,183.6,16.5,12.9,7.3,200,"알감자 80g, 쇠고기다진것 50g, 육수 50g, 녹말가루 3g, [소스소개] 파다진것 1g, 마늘 다진것 1g, 청고추 다진것 1g, 홍고추 다진것 1g, 간장 1.2g, 설탕 1.2g, 깨소금 0.5g, 참기름 1g, 후춧가루 0.1g, 미나리잎장식"
양송이버섯과 포도주스를 가미한 등심구이,굽기,일품,182.5,15.3,11.3,10.3,163,"쇠고기등심 50g, 양송이버섯 20g, 포도주스 50g, 토마토 80g, 물 15g, 바질 2.5g, 설탕 1.3g, 오레가노 2g,마늘가루 0.5g, 소금 0.4g, 파슬리다진것 5g, 월계수잎 0.2g, 로즈마리 2.5g, 통후추 1g, 타임 2.5g"
비타 오이 물김치,기타,반찬,13.46,2.99,0.34,0.02,30.88,"오이 30g, 무 50g, 홍고추 10g, 파프리카 20g, 당근 20g, 미나리 10g, 식초 30g, 배 30g, 고춧가루 10g, 설탕 5g"
